Rank 2016,Country of Birth,2016 Persons,2016 As % of OSB,2016 As % of Tot Pop,2011 Persons
1,England,171443,10.2,2.9,172068
2,India,169802,10.1,2.9,111787
3,PR China,160652,9.6,2.7,93896
4,New Zealand,93253,5.5,1.6,80234
5,Vietnam,80787,4.8,1.4,68297
6,Italy,70527,4.2,1.2,76909
7,Sri Lanka,55830,3.3,0.9,43991
8,Philippines,51920,3.1,0.9,38002
9,Malaysia,50049,3,0.8,39790
10,Greece,47240,2.8,0.8,49991
11,South Africa,27184,1.6,0.5,24447
12,Germany,26038,1.6,0.4,28021
13,Scotland,26073,1.6,0.4,29802
14,Hong Kong,21642,1.3,0.4,18204
15,Pakistan,21125,1.3,0.4,9187